Sample	Genome	Mean	Trimmed Mean	Covered Bases	Variance	Length	Count	Reads_per_base	RPKM	TPM	Total_RNA_Reads
1003-01_10	Consensus_1	0	0	0	0	691	0	0	0	0	17132410
1003-01_10	Consensus_2	0	0	0	0	710	0	0	0	0	17132410
1003-01_10	Consensus_3	0	0	0	0	744	0	0	0	0	17132410
1003-01_10	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	17132410
1003-01_10	Consensus_4	0	0	0	0	764	0	0	0	0	17132410
1003-01_10	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	17132410
1003-01_10	Consensus_5	0	0	0	0	728	0	0	0	0	17132410
1003-01_10	Consensus_6	0	0	0	0	745	0	0	0	0	17132410
1003-01_10	Consensus_7	0	0	0	0	716	0	0	0	0	17132410
1003-01_10	Consensus_8	0	0	0	0	700	0	0	0	0	17132410
1003-01_10	Consensus_9	0	0	0	0	825	0	0	0	0	17132410
1003-01_10	Consensus_10	0	0	0	0	796	0	0	0	0	17132410
1003-01_11	Consensus_1	0	0	0	0	691	0	0	0	0	20294740
1003-01_11	Consensus_2	0	0	0	0	710	0	0	0	0	20294740
1003-01_11	Consensus_3	0	0	0	0	744	0	0	0	0	20294740
1003-01_11	S129C40_011191_vs01_27	0	0	0	0	988	0	0	0	0	20294740
1003-01_11	Consensus_4	0	0	0	0	764	0	0	0	0	20294740
1003-01_11	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	20294740
1003-01_11	Consensus_5	0	0	0	0	728	0	0	0	0	20294740
1003-01_11	Consensus_6	0	0	0	0	745	0	0	0	0	20294740
1003-01_11	Consensus_7	0	0	0	0	716	0	0	0	0	20294740
1003-01_11	Consensus_8	0	0	0	0	700	0	0	0	0	20294740
1003-01_11	Consensus_9	0	0	0	0	825	0	0	0	0	20294740
1003-01_11	Consensus_10	0	0	0	0	796	0	0	0	0	20294740
1003-01_13	Consensus_1	0	0	0	0	691	0	0	0	0	23336900
1003-01_13	Consensus_2	17.533928	17.722221	560	96.879	710	70	0.09859155	1369327.1	979881.2	23336900
1003-01_13	Consensus_3	0	0	0	0	744	0	0	0	0	23336900
1003-01_13	S129C40_011191_vs01_27	0.36038187	0.2936508	218	0.431499	988	2	0.002024292	28115.16	20119.014	23336900
1003-01_13	Consensus_4	0	0	0	0	764	0	0	0	0	23336900
1003-01_13	S51C2050_014427_vs01_4	0	0	0	0	375	0	0	0	0	23336900
1003-01_13	Consensus_5	0	0	0	0	728	0	0	0	0	23336900
1003-01_13	Consensus_6	0	0	0	0	745	0	0	0	0	23336900
1003-01_13	Consensus_7	0	0	0	0	716	0	0	0	0	23336900
1003-01_13	Consensus_8	0	0	0	0	700	0	0	0	0	23336900
1003-01_13	Consensus_9	0	0	0	0	825	0	0	0	0	23336900
1003-01_13	Consensus_10	0	0	0	0	796	0	0	0	0	23336900
1003-01_15	Consensus_1	0	0	0	0	691	0	0	0	0	23215674
1003-01_15	Consensus_2	12.875	13.073413	559	44.885956	710	51	0.07183099	1408450.6	1000000	23215674
1003-01_15	Consensus_3	0	0	0	0	744	0	0	0	0	23215674
